1	1/12/2023	0700	1100	200	ABC1222
1	2/12/2023	1300	1700	85	ABC1223
2	3/12/2023	1900	2300	127	ABC1224
2	4/12/2023	1500	1900	49	ABC1225
2	5/12/2023	0700	1100	152	ABC1226
2	6/12/2023	1300	1700	200	ABC1227
2	7/12/2023	1500	1900	82	ABC1228
2	8/12/2023	1900	2300	117	ABC1229
2	9/12/2023	1000	1400	121	ABC1230
3	10/12/2023	1300	1700	85	ABC1231
3	11/12/2023	0700	1100	127	ABC1232
3	12/12/2023	1500	1900	85	ABC1233
3	13/12/2023	1900	2300	200	ABC1234
3	14/12/2023	1500	1900	23	ABC1235
3	15/12/2023	0700	1100	58	ABC1236
3	16/12/2023	1000	1400	157	ABC1237
4	17/12/2023	1000	1400	91	ABC1238
4	18/12/2023	1300	1700	85	ABC1239
4	19/12/2023	1900	2300	127	ABC1240
4	20/12/2023	0700	1100	127	ABC1241
4	21/12/2023	1900	2300	200	ABC1242
4	22/12/2023	1300	1700	75	ABC1243
4	23/12/2023	1500	1900	1	ABC1244
5	24/12/2023	0700	1100	0	ABC1245
5	25/12/2023	1000	1400	0	ABC1246
5	26/12/2023	1900	2300	200	ABC1247
5	27/12/2023	1500	1900	85	ABC1248
5	28/12/2023	1300	1700	23	ABC1249
5	29/12/2023	0700	1100	1	ABC1250
5	30/12/2023	1300	1700	0	ABC1251
6	31/12/2023	0700	1100	0	ABC1252
